iter	Passed	Remaining
432	2568	397
433	2573	391
434	2579	385
435	2584	379
436	2590	373
437	2595	367
438	2600	361
439	2606	355
440	2611	349
441	2617	343
442	2622	337
443	2628	331
444	2634	325
445	2639	319
446	2645	313
447	2650	307
448	2656	301
449	2662	295
450	2667	289
451	2673	283
452	2680	278
453	2686	272
454	2692	266
455	2698	260
456	2703	254
457	2709	248
458	2714	242
459	2720	236
460	2726	230
461	2731	224
462	2737	218
463	2742	212
464	2748	206
465	2753	200
466	2759	194
467	2764	189
468	2770	183
469	2775	177
470	2780	171
471	2786	165
472	2791	159
473	2796	153
474	2802	147
475	2808	141
476	2814	135
477	2819	129
478	2825	123
479	2830	117
480	2836	112
481	2841	106
482	2847	100
483	2853	94
484	2858	88
485	2865	82
486	2870	76
487	2877	70
488	2884	64
489	2890	58
490	2895	53
491	2903	47
492	2908	41
493	2914	35
494	2920	29
495	2925	23
496	2931	17
497	2936	11
498	2942	5
499	2947	0
